Relation,Ent1,Ent2,URI_1,URI_2,#Sentence
constituted_by,UNIDADE_LITO,ROCHA,#formacao_163,#shale,480
constituted_by,UNIDADE_LITO,ROCHA,#formacao_163,#marlstone,480
constituted_by,UNIDADE_LITO,ROCHA,#formacao_166,#shale,480
constituted_by,UNIDADE_LITO,ROCHA,#formacao_166,#marlstone,480
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cenomanian,#Albian,482
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Cenomanian,482
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Cenomanian,484
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cenomanian,#Albian,484
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Cenomanian,489
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cenomanian,#Albian,489
located_in,POÇO,BACIA,#POCO_CD_POCO_012996,#BASE_CD_BACIA_096,557
located_in,POÇO,BACIA,#POCO_CD_POCO_012996,#BASE_CD_BACIA_096,557
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Coniacian,#Santonian,636
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Santonian,#Coniacian,636
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Santonian,#Campanian,638
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Santonian,638
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Santonian,#Campanian,640
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Santonian,640
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Santonian,650
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Santonian,#Campanian,650
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Santonian,#Campanian,677
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Santonian,677
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Maastrichtian,699
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Maastrichtian,#Campanian,699
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Campanian,707
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Campanian,707
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Campanian,716
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Campanian,716
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Campanian,729
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Maastrichtian,729
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Campanian,729
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Maastrichtian,729
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Maastrichtian,#Campanian,729
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Maastrichtian,#Campanian,729
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Campanian,731
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Maastrichtian,731
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Campanian,731
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Maastrichtian,731
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Maastrichtian,#Campanian,731
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Maastrichtian,#Campanian,731
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Campanian,#Maastrichtian,768
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Maastrichtian,#Campanian,768
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Cenomanian,828
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cenomanian,#Albian,828
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Cenomanian,870
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cenomanian,#Albian,870
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0444,#BASE_CD_BACIA_270,893
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,1016
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,1030
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,1030
constituted_by,UNIDADE_LITO,ROCHA,#formacao_296,#sandstone,1031
constituted_by,UNIDADE_LITO,ROCHA,#formacao_200,#sandstone,1031
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,1032
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,1039
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0352,#BASE_CD_BACIA_096,1039
constituted_by,UNIDADE_LITO,ROCHA,#formacao_296,#sandstone,1039
located_in,UNIDADE_LITO,BACIA,#formacao_296,#BASE_CD_BACIA_096,1039
located_in,UNIDADE_LITO,BACIA,#formacao_296,#BASE_CD_BACIA_096,1039
constituted_by,UNIDADE_LITO,ROCHA,#formacao_200,#sandstone,1039
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_200,#Aptian,1039
located_in,UNIDADE_LITO,BACIA,#formacao_200,#BASE_CD_BACIA_096,1039
located_in,UNIDADE_LITO,BACIA,#formacao_200,#BASE_CD_BACIA_096,1039
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Carboniferous,1194
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Devonian,1194
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Carboniferous,1194
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Devonian,1194
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Devonian,#Carboniferous,1194
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Devonian,#Carboniferous,1194
located_in,UNIDADE_LITO,BACIA,#formacao_187,#BASE_CD_BACIA_030,1197
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Mississippian,#Carboniferous,1199
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Mississippian,1199
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Morrowan_Age,#Atokan_Age,1203
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Atokan_Age,#Morrowan_Age,1203
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_187,#Carboniferous,1207
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Paleozoic,1310
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Paleozoic,#Carboniferous,1310
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Devonian,1314
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Devonian,#Carboniferous,1314
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Morrowan_Age,#Atokan_Age,1327
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Atokan_Age,#Morrowan_Age,1327
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_270,1361
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_260,1361
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,1364
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,1364
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_270,1364
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_260,1364
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,1364
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,1364
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,1366
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,1366
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,1368
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_270,1376
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_260,1376
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_270,1378
located_in,UNIDADE_LITO,BACIA,#grupo_040,#BASE_CD_BACIA_270,1385
located_in,UNIDADE_LITO,BACIA,#grupo_008,#BASE_CD_BACIA_270,1385
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_270,1387
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_260,1387
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,1391
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,1391
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,1391
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,1391
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,1397
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#conglomerate,1397
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,1399
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,1399
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_270,1399
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_260,1399
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,1399
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,1399
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Albian,1402
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,1416
temporal_relation,UNIDADE_LITO,NÃOCONSOLID,#membro_010,#clay,1416
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,1462
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,1467
temporal_relation,UNIDADE_LITO,NÃOCONSOLID,#membro_010,#clay,1570
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,1572
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,1590
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,1590
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#anhydrite,1602
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#anhydrite,1617
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,1635
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,1650
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,1653
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#conglomerate,1653
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_270,1654
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_260,1654
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,1656
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,1669
located_in,UNIDADE_LITO,BACIA,#membro_010,#BASE_CD_BACIA_270,1722
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0861,#BASE_CD_BACIA_270,1722
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0912,#BASE_CD_BACIA_270,1722
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_010,#formacao_013,1725
located_in,POÇO,CAMPO,#POCO_CD_POCO_021985,#CAMP_CD_CAMPO_0545,1752
located_in,POÇO,BACIA,#POCO_CD_POCO_021985,#BASE_CD_BACIA_260,1752
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0545,#BASE_CD_BACIA_260,1752
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#LowerCretaceous,#Valanginian,1781
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Valanginian,#LowerCretaceous,1781
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0975,#BASE_CD_BACIA_100,1793
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Buracica_Age,#Jiquia_Age,1812
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Jiquia_Age,#Buracica_Age,1812
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Buracica_Age,#Jiquia_Age,1816
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Jiquia_Age,#Buracica_Age,1816
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#LowerCretaceous,#Valanginian,1832
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Valanginian,#LowerCretaceous,1832
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,1833
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,1861
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,1861
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,1861
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,1861
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_050,#formacao_056,1862
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,1866
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,1869
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Buracica_Age,#Jiquia_Age,1902
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Jiquia_Age,#Buracica_Age,1902
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,1905
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_050,#formacao_056,1907
constituted_by,UNIDADE_LITO,ROCHA,#membro_050,#calcilutite,1907
constituted_by,UNIDADE_LITO,ROCHA,#membro_050,#shale,1907
constituted_by,UNIDADE_LITO,ROCHA,#formacao_056,#calcilutite,1907
constituted_by,UNIDADE_LITO,ROCHA,#formacao_056,#shale,1907
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_028,#formacao_056,1907
located_in,UNIDADE_LITO,BACIA,#formacao_050,#BASE_CD_BACIA_100,1945
constituted_by,UNIDADE_LITO,ROCHA,#formacao_050,#basalt,1945
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0012,#BASE_CD_BACIA_100,1945
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#LowerCretaceous,#Valanginian,1957
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Valanginian,#LowerCretaceous,1957
located_in,UNIDADE_LITO,BACIA,#formacao_056,#BASE_CD_BACIA_100,1959
located_in,UNIDADE_LITO,BACIA,#formacao_253,#BASE_CD_BACIA_100,1959
located_in,UNIDADE_LITO,BACIA,#formacao_253,#BASE_CD_BACIA_100,1959
located_in,UNIDADE_LITO,BACIA,#formacao_253,#BASE_CD_BACIA_100,1959
located_in,UNIDADE_LITO,BACIA,#formacao_158,#BASE_CD_BACIA_100,1959
constituted_by,UNIDADE_LITO,ROCHA,#formacao_210,#basalt,1964
constituted_by,UNIDADE_LITO,ROCHA,#formacao_003,#basalt,1964
constituted_by,UNIDADE_LITO,ROCHA,#formacao_016,#basalt,1964
constituted_by,UNIDADE_LITO,ROCHA,#formacao_050,#basalt,1964
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0975,#BASE_CD_BACIA_100,2009
located_in,UNIDADE_LITO,BACIA,#formacao_050,#BASE_CD_BACIA_100,2037
located_in,UNIDADE_LITO,BACIA,#formacao_278,#BASE_CD_BACIA_100,2071
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0760,#BASE_CD_BACIA_281,2080
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Coniacian,#Santonian,2108
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Santonian,#Coniacian,2108
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Jurassic,#LowerCretaceous,2444
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Tithonian,#LowerCretaceous,2444
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#LowerCretaceous,#Jurassic,2444
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#LowerCretaceous,#Tithonian,2444
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#LowerCretaceous,#Valanginian,2444
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Valanginian,#LowerCretaceous,2444
constituted_by,UNIDADE_LITO,ROCHA,#formacao_125,#sandstone,3048
located_in,UNIDADE_LITO,BACIA,#formacao_125,#BASE_CD_BACIA_240,3048
constituted_by,UNIDADE_LITO,ROCHA,#formacao_229,#sandstone,3048
located_in,UNIDADE_LITO,BACIA,#formacao_229,#BASE_CD_BACIA_240,3048
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0403,#BASE_CD_BACIA_240,3048
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0734,#BASE_CD_BACIA_281,3054
located_in,UNIDADE_LITO,BACIA,#formacao_117,#BASE_CD_BACIA_116,3093
located_in,UNIDADE_LITO,BACIA,#formacao_130,#BASE_CD_BACIA_116,3093
located_in,POÇO,CAMPO,#POCO_CD_POCO_009065,#CAMP_CD_CAMPO_0249,3098
located_in,POÇO,BACIA,#POCO_CD_POCO_009065,#BASE_CD_BACIA_116,3098
located_in,POÇO,CAMPO,#POCO_CD_POCO_009757,#CAMP_CD_CAMPO_0249,3098
located_in,POÇO,BACIA,#POCO_CD_POCO_009757,#BASE_CD_BACIA_116,3098
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0249,#BASE_CD_BACIA_116,3098
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_007,#formacao_130,3100
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,3100
located_in,UNIDADE_LITO,BACIA,#membro_061,#BASE_CD_BACIA_116,3104
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#anhydrite,3105
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Aptian,3109
located_in,UNIDADE_LITO,BACIA,#membro_061,#BASE_CD_BACIA_116,3109
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_061,#Aptian,3109
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#anhydrite,3109
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#halite,3109
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#carnallite,3109
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#tachyhydrite,3109
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_061,#Aptian,3109
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#anhydrite,3109
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Aptian,3109
constituted_by,UNIDADE_LITO,ROCHA,#membro_007,#calcilutite,3115
constituted_by,UNIDADE_LITO,ROCHA,#membro_007,#shale,3115
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_044,#Upper_Aptian_Subage,3125
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_061,#Upper_Aptian_Subage,3125
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_044,#Upper_Aptian_Subage,3126
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_007,#Upper_Aptian_Subage,3126
constituted_by,UNIDADE_LITO,ROCHA,#formacao_117,#calcilutite,3127
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,3131
located_in,UNIDADE_LITO,BACIA,#membro_061,#BASE_CD_BACIA_116,3135
located_in,UNIDADE_LITO,BACIA,#membro_044,#BASE_CD_BACIA_116,3135
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009757,#formacao_117,3140
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009757,#membro_044,3140
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,3140
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,3144
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,3154
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,3158
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,3163
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009065,#formacao_130,3166
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009065,#membro_007,3166
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_007,#formacao_130,3166
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009757,#formacao_130,3170
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009757,#membro_007,3170
temporal_relation,UNIDADE_LITO,UNIDADE_LITO,#membro_007,#formacao_130,3170
located_in,UNIDADE_LITO,BACIA,#formacao_232,#BASE_CD_BACIA_030,3217
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_232,#Carboniferous,3217
located_in,UNIDADE_LITO,BACIA,#formacao_187,#BASE_CD_BACIA_030,3217
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_187,#Carboniferous,3217
located_in,UNIDADE_LITO,BACIA,#formacao_028,#BASE_CD_BACIA_030,3217
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_028,#Carboniferous,3217
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_022660,#formacao_187,3218
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Morrowan_Age,#Atokan_Age,3256
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Atokan_Age,#Morrowan_Age,3256
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Carboniferous,3258
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Carboniferous,3258
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Atokan_Age,#Atokan_Age,3264
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Atokan_Age,#Desmoinesian_Age,3264
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Atokan_Age,#Atokan_Age,3264
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Atokan_Age,#Desmoinesian_Age,3264
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Desmoinesian_Age,#Atokan_Age,3264
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Desmoinesian_Age,#Atokan_Age,3264
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Desmoinesian_Age,#Missourian_Age,3268
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Missourian_Age,#Desmoinesian_Age,3268
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Missourian_Age,#Virgilian_Age,3268
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Virgilian_Age,#Missourian_Age,3268
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Morrowan_Age,#Morrowan_Age,3272
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Morrowan_Age,#Morrowan_Age,3272
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Atokan_Age,#Desmoinesian_Age,3273
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Desmoinesian_Age,#Atokan_Age,3273
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Desmoinesian_Age,#Missourian_Age,3273
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Missourian_Age,#Desmoinesian_Age,3273
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Missourian_Age,#Virgilian_Age,3273
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Virgilian_Age,#Missourian_Age,3273
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Atokan_Age,#Atokan_Age,3274
temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Atokan_Age,#Atokan_Age,3274
