index_e,sentence,Ent1,Ent2,has_relation,relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em [E1] bacias [/E1] sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E2] bacia [/E2] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em [E1] bacias [/E1] sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E2] bacia [/E2] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em [E1] bacias [/E1] sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E2] bacia [/E2] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em [E1] bacias [/E1] sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E2] sedimentos [/E2] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em [E2] bacias [/E2] sedimentares: 1) [E1] sedimentos [/E1] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E1] sedimentos [/E1] siliciclásticos devem ser trazidos até a margem    [E2] bacia [/E2] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E1] sedimentos [/E1] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E2] bacia [/E2] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E1] sedimentos [/E1] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E2] bacia [/E2] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E1] sedimentos [/E1] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E2] sedimentos [/E2] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,NÃOCONSOLID,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em [E2] bacias [/E2] sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E1] bacia [/E1] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E2] sedimentos [/E2] siliciclásticos devem ser trazidos até a margem    [E1] bacia [/E1] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E1] bacia [/E1] por sistemas fluviais; 2) o preenchimento de uma [E2] bacia [/E2] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E1] bacia [/E1] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E2] bacia [/E2] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E1] bacia [/E1] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E2] sedimentos [/E2] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em [E2] bacias [/E2] sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E1] bacia [/E1] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E2] sedimentos [/E2] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E1] bacia [/E1] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E2] bacia [/E2] por sistemas fluviais; 2) o preenchimento de uma [E1] bacia [/E1] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E1] bacia [/E1] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E2] bacia [/E2] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E1] bacia [/E1] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E2] sedimentos [/E2] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em [E2] bacias [/E2] sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E1] bacia [/E1] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E2] sedimentos [/E2] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E1] bacia [/E1] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E2] bacia [/E2] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E1] bacia [/E1] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E2] bacia [/E2] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E1] bacia [/E1] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E1] bacia [/E1] sendo preenchida por [E2] sedimentos [/E2] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em [E2] bacias [/E2] sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E1] sedimentos [/E1] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E2] sedimentos [/E2] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E1] sedimentos [/E1] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,NÃOCONSOLID,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E2] bacia [/E2] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E1] sedimentos [/E1] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E2] bacia [/E2] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E1] sedimentos [/E1] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E2] bacia [/E2] sendo preenchida por [E1] sedimentos [/E1] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a [E1] bacia [/E1] se instalará; 2)      modelamento    arcabouço estrutural    [E2] bacia [/E2]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a [E1] bacia [/E1] se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E2] sedimentos [/E2]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a [E1] bacia [/E1] se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E2] sedimentos [/E2]    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a [E1] bacia [/E1] se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E2] bacia [/E2]; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a [E1] bacia [/E1] se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E2] bacia [/E2] de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a [E2] bacia [/E2] se instalará; 2)      modelamento    arcabouço estrutural    [E1] bacia [/E1]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E1] bacia [/E1]; 3)      controle     principais sítios de acumulação de [E2] sedimentos [/E2]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E1] bacia [/E1]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E2] sedimentos [/E2]    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E1] bacia [/E1]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E2] bacia [/E2]; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E1] bacia [/E1]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E2] bacia [/E2] de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a [E2] bacia [/E2] se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E1] sedimentos [/E1]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E2] bacia [/E2]; 3)      controle     principais sítios de acumulação de [E1] sedimentos [/E1]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E1] sedimentos [/E1]; 4)      criação de barreiras e rotas preferenciais para entrada de [E2] sedimentos [/E2]    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,NÃOCONSOLID,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E1] sedimentos [/E1]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E2] bacia [/E2]; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E1] sedimentos [/E1]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E2] bacia [/E2] de drenagem..,NÃOCONSOLID,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a [E2] bacia [/E2] se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E1] sedimentos [/E1]    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E2] bacia [/E2]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E1] sedimentos [/E1]    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E2] sedimentos [/E2]; 4)      criação de barreiras e rotas preferenciais para entrada de [E1] sedimentos [/E1]    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,NÃOCONSOLID,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E1] sedimentos [/E1]    [E2] bacia [/E2]; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E1] sedimentos [/E1]    bacia; 5)      controle    relevo    [E2] bacia [/E2] de drenagem..,NÃOCONSOLID,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a [E2] bacia [/E2] se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E1] bacia [/E1]; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E2] bacia [/E2]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E1] bacia [/E1]; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E2] sedimentos [/E2]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E1] bacia [/E1]; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E2] sedimentos [/E2]    [E1] bacia [/E1]; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E1] bacia [/E1]; 5)      controle    relevo    [E2] bacia [/E2] de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a [E2] bacia [/E2] se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E1] bacia [/E1] de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E2] bacia [/E2]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E1] bacia [/E1] de drenagem..,BACIA,BACIA,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E2] sedimentos [/E2]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E1] bacia [/E1] de drenagem..,BACIA,NÃOCONSOLID,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E2] sedimentos [/E2]    bacia; 5)      controle    relevo    [E1] bacia [/E1] de drenagem..,BACIA,NÃOCONSOLID,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E2] bacia [/E2]; 5)      controle    relevo    [E1] bacia [/E1] de drenagem..,BACIA,BACIA,False,no_relation
84,"As flutuações climáticas controlam: 1) o volume de [E1] água [/E1] e de [E2] sedimentos [/E2] que entram    bacia; 2) o tipo de sedimento gerado, seja detrítico, biológico ou quimico; 3) a precipitação pluviométrica e cobertura vegetal..",FLUIDODATERRA_o,NÃOCONSOLID,False,no_relation
84,"As flutuações climáticas controlam: 1) o volume de [E1] água [/E1] e de sedimentos que entram    [E2] bacia [/E2]; 2) o tipo de sedimento gerado, seja detrítico, biológico ou quimico; 3) a precipitação pluviométrica e cobertura vegetal..",FLUIDODATERRA_o,BACIA,False,no_relation
84,"As flutuações climáticas controlam: 1) o volume de [E1] água [/E1] e de sedimentos que entram    bacia; 2) o tipo de [E2] sedimento [/E2] gerado, seja detrítico, biológico ou quimico; 3) a precipitação pluviométrica e cobertura vegetal..",FLUIDODATERRA_o,NÃOCONSOLID,False,no_relation
84,"As flutuações climáticas controlam: 1) o volume de [E2] água [/E2] e de [E1] sedimentos [/E1] que entram    bacia; 2) o tipo de sedimento gerado, seja detrítico, biológico ou quimico; 3) a precipitação pluviométrica e cobertura vegetal..",NÃOCONSOLID,FLUIDODATERRA_o,False,no_relation
84,"As flutuações climáticas controlam: 1) o volume de água e de [E1] sedimentos [/E1] que entram    [E2] bacia [/E2]; 2) o tipo de sedimento gerado, seja detrítico, biológico ou quimico; 3) a precipitação pluviométrica e cobertura vegetal..",NÃOCONSOLID,BACIA,False,no_relation
84,"As flutuações climáticas controlam: 1) o volume de água e de [E1] sedimentos [/E1] que entram    bacia; 2) o tipo de [E2] sedimento [/E2] gerado, seja detrítico, biológico ou quimico; 3) a precipitação pluviométrica e cobertura vegetal..",NÃOCONSOLID,NÃOCONSOLID,False,no_relation
