#Sentence,sentence,Ent1,Ent2,URI_1,URI_2,has_relation,relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedi[E1] mentar [/E1]es: 1) [E2] sedimentos [/E2] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedi[E1] mentar [/E1]es: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E2] bacia [/E2] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedi[E1] mentar [/E1]es: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E2] bacia [/E2] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedi[E1] mentar [/E1]es: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E2] bacia [/E2] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedi[E1] mentar [/E1]es: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E2] sedimentos [/E2] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedi[E2] mentar [/E2]es: 1) [E1] sedimentos [/E1] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E1] sedimentos [/E1] siliciclásticos devem ser trazidos até a margem    [E2] bacia [/E2] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E1] sedimentos [/E1] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E2] bacia [/E2] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E1] sedimentos [/E1] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E2] bacia [/E2] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E1] sedimentos [/E1] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E2] sedimentos [/E2] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,NÃOCONSOLID,#unconsolidated_earth_material,#unconsolidated_earth_material,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedi[E2] mentar [/E2]es: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E1] bacia [/E1] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E2] sedimentos [/E2] siliciclásticos devem ser trazidos até a margem    [E1] bacia [/E1] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E1] bacia [/E1] por sistemas fluviais; 2) o preenchimento de uma [E2] bacia [/E2] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E1] bacia [/E1] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E2] bacia [/E2] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E1] bacia [/E1] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E2] sedimentos [/E2] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedi[E2] mentar [/E2]es: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E1] bacia [/E1] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E2] sedimentos [/E2] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E1] bacia [/E1] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E2] bacia [/E2] por sistemas fluviais; 2) o preenchimento de uma [E1] bacia [/E1] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E1] bacia [/E1] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E2] bacia [/E2] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E1] bacia [/E1] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E2] sedimentos [/E2] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedi[E2] mentar [/E2]es: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E1] bacia [/E1] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E2] sedimentos [/E2] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E1] bacia [/E1] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E2] bacia [/E2] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E1] bacia [/E1] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E2] bacia [/E2] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E1] bacia [/E1] sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,BACIA,#basin,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E1] bacia [/E1] sendo preenchida por [E2] sedimentos [/E2] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedi[E2] mentar [/E2]es: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E1] sedimentos [/E1] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) [E2] sedimentos [/E2] siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E1] sedimentos [/E1] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,NÃOCONSOLID,#unconsolidated_earth_material,#unconsolidated_earth_material,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    [E2] bacia [/E2] por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E1] sedimentos [/E1] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma [E2] bacia [/E2] é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por [E1] sedimentos [/E1] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
66,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma [E2] bacia [/E2] sendo preenchida por [E1] sedimentos [/E1] siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..",NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se in[E1] stala [/E1]rá; 2)      modelamento    arcabouço estrutural    [E2] bacia [/E2]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se in[E1] stala [/E1]rá; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E2] sedimentos [/E2]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se in[E1] stala [/E1]rá; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E2] sedimentos [/E2]    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se in[E1] stala [/E1]rá; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E2] bacia [/E2]; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se in[E1] stala [/E1]rá; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E2] bacia [/E2] de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se in[E2] stala [/E2]rá; 2)      modelamento    arcabouço estrutural    [E1] bacia [/E1]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E1] bacia [/E1]; 3)      controle     principais sítios de acumulação de [E2] sedimentos [/E2]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E1] bacia [/E1]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E2] sedimentos [/E2]    bacia; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E1] bacia [/E1]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E2] bacia [/E2]; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E1] bacia [/E1]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E2] bacia [/E2] de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se in[E2] stala [/E2]rá; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E1] sedimentos [/E1]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E2] bacia [/E2]; 3)      controle     principais sítios de acumulação de [E1] sedimentos [/E1]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E1] sedimentos [/E1]; 4)      criação de barreiras e rotas preferenciais para entrada de [E2] sedimentos [/E2]    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,NÃOCONSOLID,#unconsolidated_earth_material,#unconsolidated_earth_material,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E1] sedimentos [/E1]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E2] bacia [/E2]; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E1] sedimentos [/E1]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E2] bacia [/E2] de drenagem..,NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se in[E2] stala [/E2]rá; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E1] sedimentos [/E1]    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E2] bacia [/E2]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E1] sedimentos [/E1]    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E2] sedimentos [/E2]; 4)      criação de barreiras e rotas preferenciais para entrada de [E1] sedimentos [/E1]    bacia; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,NÃOCONSOLID,#unconsolidated_earth_material,#unconsolidated_earth_material,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E1] sedimentos [/E1]    [E2] bacia [/E2]; 5)      controle    relevo    bacia de drenagem..,NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E1] sedimentos [/E1]    bacia; 5)      controle    relevo    [E2] bacia [/E2] de drenagem..,NÃOCONSOLID,BACIA,#unconsolidated_earth_material,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se in[E2] stala [/E2]rá; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E1] bacia [/E1]; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E2] bacia [/E2]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E1] bacia [/E1]; 5)      controle    relevo    bacia de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E2] sedimentos [/E2]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E1] bacia [/E1]; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de [E2] sedimentos [/E2]    [E1] bacia [/E1]; 5)      controle    relevo    bacia de drenagem..,BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    [E1] bacia [/E1]; 5)      controle    relevo    [E2] bacia [/E2] de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se in[E2] stala [/E2]rá; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E1] bacia [/E1] de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    [E2] bacia [/E2]; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E1] bacia [/E1] de drenagem..,BACIA,BACIA,#basin,#basin,False,no_relation
83,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de [E2] sedimentos [/E2]; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    [E1] bacia [/E1] de drenagem..,BACIA,NÃOCONSOLID,#basin,#unconsolidated_earth_material,False,no_relation
