Relation,Ent1,Ent2,URI_1,URI_2,#Sentence
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,350
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,352
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,352
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,354
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,377
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,377
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,377
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,377
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,383
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#conglomerate,383
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,385
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,385
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,385
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,385
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,402
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,448
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,453
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,558
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,576
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Alagoas_Age,#Alagoas_Age,576
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#anhydrite,588
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#gipsita,588
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#anhydrite,603
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,621
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,636
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,639
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#conglomerate,639
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_010,#Alagoas_Age,642
constituted_by,UNIDADE_LITO,ROCHA,#membro_010,#sandstone,655
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0861,#BASE_CD_BACIA_270,708
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0912,#BASE_CD_BACIA_270,708
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_010,#formacao_013,711
located_in,POÇO,CAMPO,#POCO_CD_POCO_021985,#CAMP_CD_CAMPO_0545,738
located_in,POÇO,BACIA,#POCO_CD_POCO_021985,#BASE_CD_BACIA_260,738
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0545,#BASE_CD_BACIA_260,738
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0975,#BASE_CD_BACIA_100,779
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,819
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,847
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,847
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,847
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,847
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_050,#formacao_056,848
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,852
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_045,#formacao_056,855
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,891
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_050,#formacao_056,893
constituted_by,UNIDADE_LITO,ROCHA,#membro_050,#shale,893
constituted_by,UNIDADE_LITO,ROCHA,#formacao_056,#shale,893
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_028,#formacao_056,893
constituted_by,UNIDADE_LITO,ROCHA,#membro_028,#shale,893
constituted_by,UNIDADE_LITO,ROCHA,#formacao_050,#basalt,931
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0012,#BASE_CD_BACIA_100,931
located_in,UNIDADE_LITO,BACIA,#formacao_056,#BASE_CD_BACIA_100,945
located_in,UNIDADE_LITO,BACIA,#formacao_253,#BASE_CD_BACIA_100,945
located_in,UNIDADE_LITO,BACIA,#formacao_253,#BASE_CD_BACIA_100,945
located_in,UNIDADE_LITO,BACIA,#formacao_253,#BASE_CD_BACIA_100,945
located_in,UNIDADE_LITO,BACIA,#formacao_158,#BASE_CD_BACIA_100,945
constituted_by,UNIDADE_LITO,ROCHA,#formacao_210,#basalt,950
constituted_by,UNIDADE_LITO,ROCHA,#formacao_003,#basalt,950
constituted_by,UNIDADE_LITO,ROCHA,#formacao_016,#basalt,950
constituted_by,UNIDADE_LITO,ROCHA,#formacao_050,#basalt,950
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0975,#BASE_CD_BACIA_100,995
located_in,UNIDADE_LITO,BACIA,#formacao_278,#BASE_CD_BACIA_100,1057
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0760,#BASE_CD_BACIA_281,1066
constituted_by,UNIDADE_LITO,ROCHA,#formacao_125,#sandstone,2034
constituted_by,UNIDADE_LITO,ROCHA,#formacao_229,#sandstone,2034
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0403,#BASE_CD_BACIA_240,2034
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0734,#BASE_CD_BACIA_281,2040
constituted_by,UNIDADE_LITO,ROCHA,#formacao_157,#shale,2167
constituted_by,UNIDADE_LITO,ROCHA,#formacao_061,#shale,2167
constituted_by,UNIDADE_LITO,ROCHA,#formacao_246,#shale,2167
located_in,UNIDADE_LITO,BACIA,#formacao_216,#BASE_CD_BACIA_116,2181
located_in,UNIDADE_LITO,BACIA,#formacao_216,#BASE_CD_BACIA_116,2181
located_in,UNIDADE_LITO,BACIA,#formacao_059,#BASE_CD_BACIA_090,2203
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Paleozoic,#Paleozoic,2240
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Paleozoic,#Paleozoic,2240
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0682,#BASE_CD_BACIA_281,2579
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Devonian,#Devonian,3035
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Devonian,#Devonian,3035
located_in,UNIDADE_LITO,BACIA,#grupo_033,#BASE_CD_BACIA_300,3038
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3321
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3321
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Carboniferous,3331
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Carboniferous,#Carboniferous,3331
located_in,UNIDADE_LITO,BACIA,#formacao_165,#BASE_CD_BACIA_116,3338
located_in,UNIDADE_LITO,BACIA,#formacao_165,#BASE_CD_BACIA_116,3338
located_in,UNIDADE_LITO,BACIA,#formacao_260,#BASE_CD_BACIA_116,3338
located_in,UNIDADE_LITO,BACIA,#formacao_260,#BASE_CD_BACIA_116,3338
located_in,UNIDADE_LITO,BACIA,#formacao_102,#BASE_CD_BACIA_116,3338
located_in,UNIDADE_LITO,BACIA,#formacao_102,#BASE_CD_BACIA_116,3338
located_in,UNIDADE_LITO,BACIA,#formacao_154,#BASE_CD_BACIA_116,3338
located_in,UNIDADE_LITO,BACIA,#formacao_154,#BASE_CD_BACIA_116,3338
located_in,UNIDADE_LITO,BACIA,#formacao_103,#BASE_CD_BACIA_116,3338
located_in,UNIDADE_LITO,BACIA,#formacao_103,#BASE_CD_BACIA_116,3338
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_260,#Carboniferous,3339
located_in,UNIDADE_LITO,BACIA,#formacao_102,#BASE_CD_BACIA_116,3341
located_in,UNIDADE_LITO,BACIA,#formacao_102,#BASE_CD_BACIA_116,3341
constituted_by,UNIDADE_LITO,ROCHA,#formacao_154,#shale,3344
constituted_by,UNIDADE_LITO,ROCHA,#formacao_154,#siltstone,3344
constituted_by,UNIDADE_LITO,ROCHA,#formacao_154,#sandstone,3344
constituted_by,UNIDADE_LITO,ROCHA,#formacao_103,#shale,3344
constituted_by,UNIDADE_LITO,ROCHA,#formacao_103,#siltstone,3344
constituted_by,UNIDADE_LITO,ROCHA,#formacao_103,#sandstone,3344
constituted_by,UNIDADE_LITO,ROCHA,#formacao_103,#sandstone,3346
constituted_by,UNIDADE_LITO,ROCHA,#formacao_216,#sandstone,3346
constituted_by,UNIDADE_LITO,ROCHA,#formacao_153,#sandstone,3346
located_in,UNIDADE_LITO,BACIA,#formacao_216,#BASE_CD_BACIA_116,3347
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,3347
located_in,UNIDADE_LITO,BACIA,#formacao_117,#BASE_CD_BACIA_116,3355
located_in,UNIDADE_LITO,BACIA,#formacao_117,#BASE_CD_BACIA_116,3355
located_in,UNIDADE_LITO,BACIA,#formacao_236,#BASE_CD_BACIA_116,3355
located_in,UNIDADE_LITO,BACIA,#formacao_236,#BASE_CD_BACIA_116,3355
located_in,UNIDADE_LITO,BACIA,#formacao_130,#BASE_CD_BACIA_116,3355
located_in,UNIDADE_LITO,BACIA,#formacao_130,#BASE_CD_BACIA_116,3355
located_in,UNIDADE_LITO,BACIA,#formacao_251,#BASE_CD_BACIA_116,3355
located_in,UNIDADE_LITO,BACIA,#formacao_251,#BASE_CD_BACIA_116,3355
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3355
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3355
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3359
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3359
has_age,UNIDADE_LITO,UNIDADE_CRONO,#SD_000,#Albian,3378
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Aptian,3378
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Aptian,#Aptian,3378
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cretaceous,#Cretaceous,3397
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cretaceous,#Cretaceous,3397
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3411
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3411
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3429
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3429
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3456
located_in,UNIDADE_LITO,BACIA,#formacao_027,#BASE_CD_BACIA_116,3456
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,3712
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#diabase,3725
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,3743
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,3760
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,3802
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,3810
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0637,#BASE_CD_BACIA_100,3810
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,3821
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#conglomerate,3943
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#sandstone,3943
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#conglomerate,3949
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#volcanic_rock,3949
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#sandstone,3949
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#argillite,3949
located_in,UNIDADE_LITO,BACIA,#formacao_096,#BASE_CD_BACIA_106,4004
located_in,UNIDADE_LITO,BACIA,#formacao_136,#BASE_CD_BACIA_106,4012
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,4103
located_in,UNIDADE_LITO,BACIA,#formacao_215,#BASE_CD_BACIA_116,4103
located_in,UNIDADE_LITO,BACIA,#formacao_009,#BASE_CD_BACIA_116,4103
located_in,UNIDADE_LITO,BACIA,#formacao_236,#BASE_CD_BACIA_116,4103
located_in,UNIDADE_LITO,BACIA,#formacao_312,#BASE_CD_BACIA_116,4103
located_in,UNIDADE_LITO,BACIA,#formacao_131,#BASE_CD_BACIA_116,4103
located_in,UNIDADE_LITO,BACIA,#formacao_216,#BASE_CD_BACIA_116,4103
located_in,UNIDADE_LITO,BACIA,#formacao_103,#BASE_CD_BACIA_116,4103
located_in,UNIDADE_LITO,BACIA,#formacao_154,#BASE_CD_BACIA_116,4103
located_in,UNIDADE_LITO,BACIA,#formacao_102,#BASE_CD_BACIA_116,4103
located_in,UNIDADE_LITO,BACIA,#formacao_260,#BASE_CD_BACIA_116,4103
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_016,#Pliocene,4105
constituted_by,UNIDADE_LITO,ROCHA,#formacao_215,#sandstone,4109
constituted_by,UNIDADE_LITO,ROCHA,#formacao_215,#shale,4109
constituted_by,UNIDADE_LITO,ROCHA,#formacao_009,#sandstone,4109
constituted_by,UNIDADE_LITO,ROCHA,#formacao_009,#shale,4109
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,4278
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0519,#BASE_CD_BACIA_116,4278
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,4290
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0519,#BASE_CD_BACIA_116,4290
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,4291
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0519,#BASE_CD_BACIA_116,4291
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_153,#Aratu_Age,4305
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,4305
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,4317
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0519,#BASE_CD_BACIA_116,4317
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0916,#BASE_CD_BACIA_116,4317
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,4324
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,4329
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0888,#BASE_CD_BACIA_266,4373
constituted_by,UNIDADE_LITO,ROCHA,#formacao_149,#sandstone,4392
constituted_by,UNIDADE_LITO,ROCHA,#formacao_149,#shale,4392
located_in,UNIDADE_LITO,BACIA,#formacao_149,#BASE_CD_BACIA_230,4629
constituted_by,UNIDADE_LITO,ROCHA,#formacao_295,#sandstone,4651
located_in,UNIDADE_LITO,BACIA,#formacao_295,#BASE_CD_BACIA_266,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_239,#sandstone,4651
located_in,UNIDADE_LITO,BACIA,#formacao_239,#BASE_CD_BACIA_266,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_083,#sandstone,4651
located_in,UNIDADE_LITO,BACIA,#formacao_083,#BASE_CD_BACIA_266,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_264,#sandstone,4651
located_in,UNIDADE_LITO,BACIA,#formacao_264,#BASE_CD_BACIA_266,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_204,#sandstone,4651
located_in,UNIDADE_LITO,BACIA,#formacao_204,#BASE_CD_BACIA_266,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_343,#sandstone,4651
located_in,UNIDADE_LITO,BACIA,#formacao_343,#BASE_CD_BACIA_266,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_171,#sandstone,4651
located_in,UNIDADE_LITO,BACIA,#formacao_171,#BASE_CD_BACIA_266,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_266,#sandstone,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_255,#sandstone,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_262,#sandstone,4651
located_in,UNIDADE_LITO,BACIA,#formacao_262,#BASE_CD_BACIA_266,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_256,#sandstone,4651
located_in,UNIDADE_LITO,BACIA,#formacao_256,#BASE_CD_BACIA_266,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_122,#sandstone,4651
located_in,UNIDADE_LITO,BACIA,#formacao_122,#BASE_CD_BACIA_266,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_016,#sandstone,4651
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#sandstone,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#sandstone,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#shale,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#shale,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_239,#sandstone,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_239,#sandstone,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_239,#shale,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_239,#shale,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_083,#sandstone,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_083,#sandstone,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_083,#shale,4737
constituted_by,UNIDADE_LITO,ROCHA,#formacao_083,#shale,4737
located_in,UNIDADE_LITO,BACIA,#formacao_264,#BASE_CD_BACIA_266,4744
constituted_by,UNIDADE_LITO,ROCHA,#formacao_264,#shale,4744
constituted_by,UNIDADE_LITO,ROCHA,#formacao_264,#sandstone,4744
constituted_by,UNIDADE_LITO,ROCHA,#formacao_264,#sandstone,4744
constituted_by,UNIDADE_LITO,ROCHA,#formacao_204,#sandstone,4746
constituted_by,UNIDADE_LITO,ROCHA,#formacao_204,#shale,4746
constituted_by,UNIDADE_LITO,ROCHA,#formacao_204,#sandstone,4748
constituted_by,UNIDADE_LITO,ROCHA,#formacao_204,#shale,4748
located_in,UNIDADE_LITO,BACIA,#formacao_343,#BASE_CD_BACIA_266,4752
constituted_by,UNIDADE_LITO,ROCHA,#formacao_343,#shale,4752
constituted_by,UNIDADE_LITO,ROCHA,#formacao_343,#sandstone,4752
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_013,#Alagoas_Age,4752
constituted_by,UNIDADE_LITO,ROCHA,#formacao_013,#shale,4752
constituted_by,UNIDADE_LITO,ROCHA,#formacao_013,#sandstone,4752
located_in,UNIDADE_LITO,BACIA,#formacao_171,#BASE_CD_BACIA_266,4754
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Coniacian,#Coniacian,4756
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Coniacian,#Coniacian,4756
constituted_by,UNIDADE_LITO,ROCHA,#formacao_262,#shale,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_262,#sandstone,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_262,#sandstone,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_122,#shale,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_122,#sandstone,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_122,#sandstone,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_016,#shale,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_016,#sandstone,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_016,#sandstone,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_256,#shale,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_256,#sandstone,4757
constituted_by,UNIDADE_LITO,ROCHA,#formacao_256,#sandstone,4757
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#sandstone,4874
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#conglomerate,4874
located_in,UNIDADE_LITO,BACIA,#formacao_149,#BASE_CD_BACIA_230,5187
located_in,UNIDADE_LITO,BACIA,#formacao_249,#BASE_CD_BACIA_316,5426
located_in,UNIDADE_LITO,BACIA,#formacao_331,#BASE_CD_BACIA_316,5426
located_in,UNIDADE_LITO,BACIA,#membro_032,#BASE_CD_BACIA_316,5426
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_032,#formacao_331,5426
located_in,UNIDADE_LITO,BACIA,#formacao_163,#BASE_CD_BACIA_316,5426
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0734,#BASE_CD_BACIA_281,5429
located_in,UNIDADE_LITO,BACIA,#formacao_331,#BASE_CD_BACIA_316,5432
located_in,UNIDADE_LITO,BACIA,#grupo_038,#BASE_CD_BACIA_300,5437
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cretaceous,#Cretaceous,5452
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cretaceous,#Cretaceous,5452
located_in,UNIDADE_LITO,BACIA,#formacao_331,#BASE_CD_BACIA_316,5488
constituted_by,UNIDADE_LITO,NÃOCONSOLID,#formacao_331,#sand,5488
located_in,UNIDADE_LITO,BACIA,#formacao_084,#BASE_CD_BACIA_381,5777
located_in,UNIDADE_LITO,BACIA,#formacao_277,#BASE_CD_BACIA_316,5777
located_in,UNIDADE_LITO,BACIA,#formacao_222,#BASE_CD_BACIA_281,5777
constituted_by,UNIDADE_LITO,ROCHA,#formacao_222,#basalt,5778
located_in,UNIDADE_LITO,BACIA,#formacao_119,#BASE_CD_BACIA_256,5856
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,5857
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,5857
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_153,#Aratu_Age,5857
located_in,POÇO,BACIA,#POCO_CD_POCO_023746,#BASE_CD_BACIA_381,5889
located_in,UNIDADE_LITO,BACIA,#formacao_117,#BASE_CD_BACIA_116,5896
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,5991
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Albian,6235
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Albian,6235
located_in,UNIDADE_LITO,BACIA,#grupo_000,#BASE_CD_BACIA_281,6355
constituted_by,UNIDADE_LITO,ROCHA,#grupo_000,#marlstone,6355
constituted_by,UNIDADE_LITO,ROCHA,#grupo_000,#shale,6355
has_age,UNIDADE_LITO,UNIDADE_CRONO,#grupo_000,#Albian,6355
located_in,UNIDADE_LITO,BACIA,#formacao_278,#BASE_CD_BACIA_100,6364
located_in,UNIDADE_LITO,BACIA,#formacao_278,#BASE_CD_BACIA_100,6464
located_in,UNIDADE_LITO,BACIA,#formacao_262,#BASE_CD_BACIA_266,6490
has_age,UNIDADE_LITO,UNIDADE_CRONO,#SD_000,#Albian,6493
located_in,UNIDADE_LITO,BACIA,#formacao_262,#BASE_CD_BACIA_266,6500
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cretaceous,#Cretaceous,6502
has_temporal_relation,UNIDADE_CRONO,UNIDADE_CRONO,#Cretaceous,#Cretaceous,6502
constituted_by,UNIDADE_LITO,ROCHA,#formacao_262,#conglomerate,6567
constituted_by,UNIDADE_LITO,ROCHA,#formacao_262,#sandstone,6567
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#shale,6613
constituted_by,UNIDADE_LITO,NÃOCONSOLID,#SD_000,#sand,6692
constituted_by,UNIDADE_LITO,NÃOCONSOLID,#SD_000,#sand,6692
constituted_by,UNIDADE_LITO,ROCHA,#formacao_262,#sandstone,6706
constituted_by,UNIDADE_LITO,ROCHA,#formacao_262,#conglomerate,6706
constituted_by,UNIDADE_LITO,ROCHA,#formacao_262,#conglomerate,6724
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#conglomerate,6724
located_in,UNIDADE_LITO,BACIA,#formacao_262,#BASE_CD_BACIA_266,6739
located_in,UNIDADE_LITO,BACIA,#grupo_033,#BASE_CD_BACIA_300,6810
located_in,UNIDADE_LITO,BACIA,#grupo_033,#BASE_CD_BACIA_300,6815
constituted_by,UNIDADE_LITO,FLUIDODATERRA_i,#formacao_110,#oil,6817
located_in,UNIDADE_LITO,BACIA,#formacao_110,#BASE_CD_BACIA_281,6829
constituted_by,UNIDADE_LITO,ROCHA,#formacao_289,#diamictite,6837
constituted_by,UNIDADE_LITO,ROCHA,#formacao_289,#shale,6837
constituted_by,UNIDADE_LITO,ROCHA,#formacao_110,#marlstone,6849
